document,label,why,the_document_answers_it,words,context
856,3,longer than a quotation can carry,yes,The Committee recommends that the Australian Government legislate a new framework for cultural heritage protection at the national level 7.78 The legislation should be developed through a process of co-design with Aboriginal and Torres Strait Islander peoples 7.79 This new legislation should set out,Recommendation 3 7.77 The Committee recommends that the Australian Government legislate a new framework for cultural heritage protection at the national level 7.78 The legislation should be developed through a process of co-design with Aboriginal and Torres Strait Islander peoples 7.79 This new legislation should set o
856,3,longer than a quotation can carry,yes,"That all mining companies operating in Western Australia whether or not on Native Title Land: Undertake independent review of their agreements with Traditional Owners and commit to ongoing regular review to ensure consistency with best practice standards. In particular, companies should review final","Recommendation 3 1.59 That all mining companies operating in Western Australia whether or not on Native Title Land: Undertake independent review of their agreements with Traditional Owners and commit to ongoing regular review to ensure consistency with best practice standards. In particular, companies should review fin"
856,8,does not read like a recommendation,,"13 Never Again: Inquiry into the destruction of 46,000 year old caves at the Juukan Gorge in the Pilbara region of Western Australia - Interim Report. ...................15","Recommendation 8 .................................................................................................................13 Never Again: Inquiry into the destruction of 46,000 year old caves at the Juukan Gorge in the Pilbara region of Western Australia - Interim Report. ...................15 Recommendation 1"
856,9,does not read like a recommendation,,"Legislation on all levels relevant to the protection of First Nations cultural heritage to require consultation with all First Nations communities impacted by an activity proposition, not just registered Native Title holders or Traditional Owner corporations, to ensure true Free, Prior and Informed ","Recommendation 9 Legislation on all levels relevant to the protection of First Nations cultural heritage to require consultation with all First Nations communities impacted by an activity proposition, not just registered Native Title holders or Traditional Owner corporations, to ensure true Free, Prior and Informed Con"
941,6,does not read like a recommendation,yes,The Australian Government consider including key aspects of the scheme in the primary legislation rather than leaving it to be subject to delegated legislation,Recommendation 6 The Australian Government consider including key aspects of the scheme in the primary legislation rather than leaving it to be subject to delegated legislation. The Australian Government notes the bills were passed on 2 December 2021 and the Scheme commenced operating on 1 March 2022. The Scheme is lar
941,7,does not read like a recommendation,yes,The Australian Government consider extending the operational timeframe of the scheme,"Recommendation 7 The Australian Government consider extending the operational timeframe of the scheme. The Australian Government notes this recommendation. The Scheme will be open for applications for four years. The Scheme was modelled on the NSW Stolen Generations Reparations Scheme, which was in operation for five y"
975,2,too short to be a recommendation,yes,The committee recommends that the Bill be passed,Recommendation 2: The committee recommends that the Bill be passed. The Government supports this recommendation. The Act received Royal Assent on 12 December 2022. Additional comments by Senator Paul Scarr Recommendation 1: The wording of proposed section 28M be reconsidered to address the concerns raised by key stakeh
975,2,does not read like a recommendation,yes,The phrase: ‘as far as possible’ in proposed subsection 47C(1) be replaced with: ‘so far as reasonably practicable’,"Recommendation 2: The phrase: ‘as far as possible’ in proposed subsection 47C(1) be replaced with: ‘so far as reasonably practicable’. The Government does not support this recommendation. This proposal would depart from the language of recommendation 17 of the Respect@Work Report, which was based on the Victorian posit"
975,2,does not read like a recommendation,yes,"Amend the hostile workplace environment provisions in s 28M to: (a) remove the requirement for a person to ‘subject another person’ to a hostile work environment, and instead make it unlawful for a person to contribute to the maintenance of a workplace environment that is hostile","Recommendation 2: Amend the hostile workplace environment provisions in s 28M to: (a) remove the requirement for a person to ‘subject another person’ to a hostile work environment, and instead make it unlawful for a person to contribute to the maintenance of a workplace environment that is hostile The Government does n"
975,5,does not read like a recommendation,yes,Further consideration be given to the appropriate costs allocation principles to avoid unintended consequences,Recommendation 5: Further consideration be given to the appropriate costs allocation principles to avoid unintended consequences The Government supports this recommendation. The Government carefully considered the Committee’s report and listened to stakeholder concerns in relation to the cost protection provisions orig
975,5,does not read like a recommendation,yes,(a) Extend WGEA reporting obligations to all organisations with 50 or more employees,Recommendation 5: (a) Extend WGEA reporting obligations to all organisations with 50 or more employees The Government does not support this recommendation. This recommendation goes beyond the scope of the Respect@Work Report. The Act requires Commonwealth public sector agencies with 100 or more employees to comply with
975,6,does not read like a recommendation,yes,"(a) Regularly review AHRC funding to ensure adequate resources are available for education, support, monitoring and enforcement","Recommendation 6: (a) Regularly review AHRC funding to ensure adequate resources are available for education, support, monitoring and enforcement The Government supports this recommendation. The Government is providing $10.5 million to the Commission over four years to support implementation of key Respect@Work recomme"
975,7,does not read like a recommendation,yes,"Include a requirement for a statutory review of the operation of the Bill within 12 - 18 months of the commencement of enforcement provisions, and then every five years","Recommendation 7: Include a requirement for a statutory review of the operation of the Bill within 12 - 18 months of the commencement of enforcement provisions, and then every five years. The Government supports this recommendation in principle. During the debate on the Bill, the Government supported the amendment move"
1231,1,too short to be a recommendation,yes,Noted,Recommendation 1 – Noted The Government notes this issue is currently being considered by the Council on Federal Financial Relations as part of broader consideration of existing funding arrangements between the Commonwealth and the states and territories. 2. The Commonwealth Government amend the National Disability Ins
1231,2,too short to be a recommendation,yes,Supported in principle,"Recommendation 2 – Supported in principle The Government is committed to co-design as a meaningful, joint collaboration with participants, their carers and families to resolve some of the challenges facing the Scheme. The Government will consider further specificity around the definition of ‘co-design’ following the ou"
1231,4,too short to be a recommendation,yes,Noted,Recommendation 4 – Noted The Government is currently co-designing improvements to the access and planning pathway with the disability sector. The Government has worked with the disability sector to develop the terms of reference for the review of the NDIS. Both of these processes will include a range of approaches to p
1231,6,too short to be a recommendation,yes,Supported,Recommendation 6 – Supported The Government will continue to engage with the disability community on improvements to the access and planning pathway and through the NDIS Review. Any proposed person-centred assessments will be co-designed with the disability community. 4
1346,1,the extraction looks broken,yes,"The committee recommends that the government, in consultation with the Joint Committee of Public Accounts and Audit, amend the annual reporting requirements for government entities to provide for more systematic reporting in relation to external scrutiny, including for parliamentary committee inquir","Recommendation 1 1.35 The committee recommends that the government, in consultation with the Joint Committee of Public Accounts and Audit, amend the annual reporting requirements for government entities to provide for more systematic reporting in relation to external scrutiny, including for parliamentary committee inqu"
1704,1,too short to be a recommendation,yes,,"Recommendation 1 Accepted. The committee recommends that the The Government has committed to Australian Government prioritise criminalising wage theft in its Secure amendments to the Fair Work Act 2009 to Australian Jobs Plan. In that commitment, criminalise wage theft in Australia, and that the Government has indicate"
1704,10,too short to be a recommendation,yes,,"Recommendation 10 Accepted. The committee recommends that the Consistent with its commitment in the Australian Government include Secure Australian Jobs Plan, the superannuation in the National Government will introduce legislation in Employment Standards. due course to include superannuation in the Fair Work Act to en"
1704,11,too short to be a recommendation,yes,,Recommendation 11 Noted. The committee recommends that the The Government will consider the Australian government consider including desirability of guaranteeing unpaid superannuation in the Fair Entitlements superannuation entitlements in insolvency. Guarantee payments. Further consideration of this recommendation wil
1704,13,too short to be a recommendation,yes,,Recommendation 13 Noted. The committee recommends that the The Government is committed to ensuring Australian Government review all current that the Australian Taxation Office and the compliance and recovery activities related Fair Work Ombudsman are able to continue to unpaid Superannuation Guarantee to work together
1704,14,too short to be a recommendation,yes,,"Recommendation 14 Accepted. The committee recommends that the The Government’s commitment to include Australian Government consider legislative superannuation in the Fair Work Act will options to give employees, or other parties provide certain employees, and other acting on their behalf such as unions, parties acting"
1704,16,too short to be a recommendation,yes,,"Recommendation 16 Accepted. The committee recommends that the The Government is committed to ensuring Australian Government explore reform to all workers, including migrant workers, are visa laws to allow migrant workers who able to recover their unpaid wages. 11 have been exploited or underpaid to remain in Australia"
1704,18,too short to be a recommendation,yes,,Recommendation 18 Accepted. The committee recommends that the The Government will act as a model Australian Government act as a model procurer by exercising its procurement procurer by ensuring that: powers in line with the Commonwealth Procurement Framework and Rules. These • government procurement powers are Rules se
1704,2,too short to be a recommendation,yes,,Recommendation 2 Accepted. The committee recommends that the The Government is committed to ensuring Australian Government amend the Fair that the compliance and enforcement Work Act 2009 to: settings in the Fair Work Act address the serious problem of wage theft. • increase civil penalties for wage theft; • make it an
1704,3,too short to be a recommendation,yes,,"Recommendation 3 Noted. The committee recommends that the The Government considers that wage theft Australian Government consider tasking the is not only unfair to workers who do not Australian Competition and Consumer receive their lawful entitlements, but also Commission to bring forward a legislative unfair to law-a"
1704,4,too short to be a recommendation,yes,,"Recommendation 4 Noted. The committee recommends that the As the Committee notes, ASIC’s Australian Securities and Investments enforcement actions are a matter for ASIC Commission improve enforcement action as an independent commission. and director disqualifications from managing a company, where companies However, th"
2495,1,does not read like a recommendation,,"of the Government’s report, in particular changes which seek to increase enrolment and participation, particularly of Aboriginal and Torres Strait Islander people, including in remote communities. 2 That clause 4 of the Bill relating See response to","Recommendation 1 of the Government’s report, in particular changes which seek to increase enrolment and participation, particularly of Aboriginal and Torres Strait Islander people, including in remote communities. 2 That clause 4 of the Bill relating See response to Recommendation 2 of the Majority Report. to the suspe"
2910,17,the extraction looks broken,yes,The Committee recommends that the Ministers’ Redress Scheme Governance Board prioritise preventing the exploitation of survivors by private law firms and works to immediately implement the following measures:  Make it unlawful for lawyers to charge contingency fees for services delivered with respe,Recommendation 17 The Committee recommends that the Ministers’ Redress Scheme Governance Board prioritise preventing the exploitation of survivors by private law firms and works to immediately implement the following measures:  Make it unlawful for lawyers to charge contingency fees for services delivered with respect
3049,4,the extraction looks broken,yes,"The Committee recommends the Government introduce standing resolutions of both Houses of Parliament to establish Parliament’s expectations in relation to accountability for decisions in relation to international armed conflict, providing for sensible exemptions to enable timely and flexible national","Recommendation 4 The Committee recommends the Government introduce standing resolutions of both Houses of Parliament to establish Parliament’s expectations in relation to accountability for decisions in relation to international armed conflict, providing for sensible exemptions to enable timely and flexible national s"
3049,6,longer than a quotation can carry,yes,"The Committee recommends the Government introduce legislation to establish a Joint Statutory Committee on Defence to supersede and enhance the Defence related functions currently undertaken by the Joint Standing Committee of Foreign Affairs, Defence and Trade. This committee should have its powers s","Recommendation 6 The Committee recommends the Government introduce legislation to establish a Joint Statutory Committee on Defence to supersede and enhance the Defence related functions currently undertaken by the Joint Standing Committee of Foreign Affairs, Defence and Trade. This committee should have its powers set"
3049,7,too short to be a recommendation,,"The Committee recommends that, subject to","Recommendation 7 The Committee recommends that, subject to Recommendation 6, the Cabinet Handbook codify an expectation that the Prime Minister or Minister for Defence will facilitate appropriate briefings of the Defence Committee regarding the conduct of significant military operations, subject to ongoing national se"
3383,25,the extraction looks broken,yes,"The committee recommends that the Australian Government work with relevant industry bodies to design and implement measures to improve the capacity and capability of production animal veterinarians, particularly in rural and remote areas, including: e enhancement of veterinarian attraction and reten","Recommendation 25 The committee recommends that the Australian Government work with relevant industry bodies to design and implement measures to improve the capacity and capability of production animal veterinarians, particularly in rural and remote areas, including: e enhancement of veterinarian attraction and reten"
3383,27,the extraction looks broken,yes,"The committee recommends that the department, in consultation with stakeholders, coordinate the development of a strategy for biosecurity research development and extension which includes: e along-term funding mechanism for biosecurity research; e approaches to identify research, development and ext","Recommendation 27 The committee recommends that the department, in consultation with stakeholders, coordinate the development of a strategy for biosecurity research development and extension which includes: e along-term funding mechanism for biosecurity research; e approaches to identify research, development and ex"
3427,1,the extraction looks broken,yes,"The Committee recommends that Division 3A of the Crimes Act 1914 be amended so that: e the Australian Federal Police must notify the Commonwealth Ombudsman, the Independent National Security Legislation Monitor and the Parliamentary Joint Committee on Intelligence and Security of any declaration of ","Recommendation 1 The Committee recommends that Division 3A of the Crimes Act 1914 be amended so that: e the Australian Federal Police must notify the Commonwealth Ombudsman, the Independent National Security Legislation Monitor and the Parliamentary Joint Committee on Intelligence and Security of any declaration of a"
3427,12,the extraction looks broken,yes,The Committee recommends that Division 104 of the Criminal Code Act 1995 be amended to ——~--—-— provide that the Australian Federal Police: may add conditions with the consent-of both parties;-—— provided that: e the consent of the subject of the order is fully informed and he or she has been given ,Recommendation 12 The Committee recommends that Division 104 of the Criminal Code Act 1995 be amended to ——~--—-— provide that the Australian Federal Police: may add conditions with the consent-of both parties;-—— provided that: e the consent of the subject of the order is fully informed and he or she has been given ev
3427,15,the extraction looks broken,yes,The Committee recommends that Division 105 of the Criminal Code Act 1995 be amended to remove: e amember of the Administrative Appeals Tribunal (other than the AAT President or a Deputy President who also holds a commission as a Federal Court Judge); and e aJudge of the Federal Circuit Court,Recommendation 15 The Committee recommends that Division 105 of the Criminal Code Act 1995 be amended to remove: e amember of the Administrative Appeals Tribunal (other than the AAT President or a Deputy President who also holds a commission as a Federal Court Judge); and e aJudge of the Federal Circuit Court. The
3427,19,the extraction looks broken,yes,"The Committee recommends that the Criminal Code Act 1995 be amended to require public reporting requirements on the use and implementation of Division 105A, including: e details of housing arrangements for individuals subject to a continuing detention order; e use of rehabilitation programs (pre and","Recommendation 19 The Committee recommends that the Criminal Code Act 1995 be amended to require public reporting requirements on the use and implementation of Division 105A, including: e details of housing arrangements for individuals subject to a continuing detention order; e use of rehabilitation programs (pre a"
3427,2,the extraction looks broken,yes,"The Committee recommends that the Crimes Act 1914 be amended to provide a list of particular matters the Minister must consider before declaring a prescribed security zone, including: e the identified impacts on third party rights would be reasonable and proportionate to the purpose of preventing, o","Recommendation 2 The Committee recommends that the Crimes Act 1914 be amended to provide a list of particular matters the Minister must consider before declaring a prescribed security zone, including: e the identified impacts on third party rights would be reasonable and proportionate to the purpose of preventing, o"
4250,3,the extraction looks broken,,"The Committee recommends the Department of Defence implement systems which regulate and audit DISP compliance, and: • Within six months of this report being tabled in Parliament, outline in writing to the Committee how all six recommendations of the ANAO in Auditor-General Report No. 4 of 2021-22 ha","Recommendation 3 The Committee recommends the Department of Defence implement systems which regulate and audit DISP compliance, and: • Within six months of this report being tabled in Parliament, outline in writing to the Committee how all six recommendations of the ANAO in Auditor-General Report No. 4 of 2021-22 have"
4520,10,too short to be a recommendation,,19,Recommendation 10 .......................................................................................................................... 19 Recommendation 11 .......................................................................................................................... 21 Recommendation 12 ..............
4520,11,too short to be a recommendation,,21,Recommendation 11 .......................................................................................................................... 21 Recommendation 12 .......................................................................................................................... 22 Recommendation 13 ..............
4520,12,too short to be a recommendation,,22,Recommendation 12 .......................................................................................................................... 22 Recommendation 13 .......................................................................................................................... 24 Recommendation 14 ..............
4520,13,too short to be a recommendation,,24,Recommendation 13 .......................................................................................................................... 24 Recommendation 14 .......................................................................................................................... 25 Recommendation 15 ..............
4520,14,too short to be a recommendation,,25,Recommendation 14 .......................................................................................................................... 25 Recommendation 15 .......................................................................................................................... 26 Recommendation 16 ..............
4520,15,too short to be a recommendation,,26,Recommendation 15 .......................................................................................................................... 26 Recommendation 16 .......................................................................................................................... 27 Recommendation 17 ..............
4520,16,too short to be a recommendation,,27,Recommendation 16 .......................................................................................................................... 27 Recommendation 17 .......................................................................................................................... 30 Recommendation 18 ..............
4520,17,too short to be a recommendation,,30,Recommendation 17 .......................................................................................................................... 30 Recommendation 18 .......................................................................................................................... 32 Recommendation 19 ..............
4520,18,too short to be a recommendation,,32,Recommendation 18 .......................................................................................................................... 32 Recommendation 19 .......................................................................................................................... 36 Recommendation 20 ..............
4520,19,too short to be a recommendation,,36,Recommendation 19 .......................................................................................................................... 36 Recommendation 20 .......................................................................................................................... 37 Recommendation 21 ..............
4520,2,too short to be a recommendation,,11,Recommendation 2 ............................................................................................................................ 11 Recommendation 3 ............................................................................................................................ 12 Recommendation 4 .............
4520,2,too short to be a recommendation,,60,Recommendation 2 ............................................................................................................................ 60 Recommendation 3 ............................................................................................................................ 61 Recommendation 4 .............
4520,20,too short to be a recommendation,,37,Recommendation 20 .......................................................................................................................... 37 Recommendation 21 .......................................................................................................................... 39 Recommendation 22 ..............
4520,21,too short to be a recommendation,,39,Recommendation 21 .......................................................................................................................... 39 Recommendation 22 .......................................................................................................................... 40 Recommendation 23 ..............
4520,22,too short to be a recommendation,,40,Recommendation 22 .......................................................................................................................... 40 Recommendation 23 .......................................................................................................................... 42 Recommendation 24 ..............
4520,23,too short to be a recommendation,,42,Recommendation 23 .......................................................................................................................... 42 Recommendation 24 .......................................................................................................................... 44 Recommendation 25 ..............
4520,24,too short to be a recommendation,,44,Recommendation 24 .......................................................................................................................... 44 Recommendation 25 .......................................................................................................................... 48 Recommendation 26 ..............
4520,25,too short to be a recommendation,,48,Recommendation 25 .......................................................................................................................... 48 Recommendation 26 .......................................................................................................................... 52 Recommendation 27 ..............
4520,26,too short to be a recommendation,,52,Recommendation 26 .......................................................................................................................... 52 Recommendation 27 .......................................................................................................................... 55 Recommendation 28 ..............
4520,27,too short to be a recommendation,,55,Recommendation 27 .......................................................................................................................... 55 Recommendation 28 .......................................................................................................................... 56 Recommendation 29 ..............
4520,28,too short to be a recommendation,,56,Recommendation 28 .......................................................................................................................... 56 Recommendation 29 .......................................................................................................................... 57 Part B – Australian Government r
4520,29,does not read like a recommendation,,57 Part B – Australian Government response to Interim Report ...............................................................59,Recommendation 29 .......................................................................................................................... 57 Part B – Australian Government response to Interim Report ...............................................................59 Recommendation 1 ...................................
4520,3,too short to be a recommendation,,12,Recommendation 3 ............................................................................................................................ 12 Recommendation 4 ............................................................................................................................ 13 Recommendation 5 .............
4520,3,too short to be a recommendation,,61,Recommendation 3 ............................................................................................................................ 61 Recommendation 4 ............................................................................................................................ 62 Recommendation 5 .............
4520,4,too short to be a recommendation,,13,Recommendation 4 ............................................................................................................................ 13 Recommendation 5 ............................................................................................................................ 14 Recommendation 6 .............
4520,4,too short to be a recommendation,,62,Recommendation 4 ............................................................................................................................ 62 Recommendation 5 ............................................................................................................................ 63 Recommendation 6 .............
4520,5,too short to be a recommendation,,14,Recommendation 5 ............................................................................................................................ 14 Recommendation 6 ............................................................................................................................ 15 Recommendation 7 .............
4520,5,too short to be a recommendation,,63,Recommendation 5 ............................................................................................................................ 63 Recommendation 6 ............................................................................................................................ 64 Recommendation 7 .............
4520,6,too short to be a recommendation,,15,Recommendation 6 ............................................................................................................................ 15 Recommendation 7 ............................................................................................................................ 16 Recommendation 8 .............
4520,6,too short to be a recommendation,,64,Recommendation 6 ............................................................................................................................ 64 Recommendation 7 ............................................................................................................................ 65 Recommendation 8 .............
4520,7,too short to be a recommendation,,16,Recommendation 7 ............................................................................................................................ 16 Recommendation 8 ............................................................................................................................ 17 Recommendation 9 .............
4520,7,too short to be a recommendation,,65,Recommendation 7 ............................................................................................................................ 65 Recommendation 8 ............................................................................................................................ 66 Recommendation 9 .............
4520,8,too short to be a recommendation,,17,Recommendation 8 ............................................................................................................................ 17 Recommendation 9 ............................................................................................................................ 18 Recommendation 10 ............
4520,8,too short to be a recommendation,,66,Recommendation 8 ............................................................................................................................ 66 Recommendation 9 ............................................................................................................................ 67 Dissenting reports – Senator M
4520,9,too short to be a recommendation,,18,Recommendation 9 ............................................................................................................................ 18 Recommendation 10 .......................................................................................................................... 19 Recommendation 11 .............
4520,9,the government's words begin mid-sentence,yes,67 Dissenting reports – Senator Malcolm Roberts ...................................................................................68 Contributing departments and agencies to the Australian Government response ................................68,Recommendation 9 ............................................................................................................................ 67 Dissenting reports – Senator Malcolm Roberts ...................................................................................68 Contributing departments and agencies to the
4724,2,does not read like a recommendation,,Labor Senators urgently call on the Government to address issues surrounding workforce recruitment and retention both in this Bill and more generally. Th e Government’s response to,Recommendation 2 - 1.10 Labor Senators urgently call on the Government to address issues surrounding workforce recruitment and retention both in this Bill and more generally. Th e Government’s response to Recommendation 2 is: Supports the recommendation. The Government is aware that there are skill shortages in the age
4774,2,does not read like a recommendation,yes,The Department of Industry develop the model for assessing ‘optimal recovery’ and make it accessible to industry and the public,"Recommendation 2: The Department of Industry develop the model for assessing ‘optimal recovery’ and make it accessible to industry and the public. The Government does not support this recommendation. As acknowledged in the response to the preceding Recommendation, ‘good oilfield practice’ and ‘optimum long-term recover"
5110,15,does not read like a recommendation,yes,Acquire (through a buyback scheme) and build quality public housing to enable universal access to public housing over the long term,Recommendation 15 Acquire (through a buyback scheme) and build quality public housing to enable universal access to public housing over the long term. Australian Government response The Government notes this recommendation. The provision of public housing is a matter for state and territory governments. In addition to
5110,16,does not read like a recommendation,yes,"Establish a mechanism to support democratically controlled co-operative housing, including direct funding to assist people in acquiring or building housing under a co-operative model (this is not just in relation to Aboriginal housing co-ops, but more generally)","Recommendation 16 Establish a mechanism to support democratically controlled co-operative housing, including direct funding to assist people in acquiring or building housing under a co-operative model (this is not just in relation to Aboriginal housing co-ops, but more generally). Australian Government response The Gov"
5110,17,does not read like a recommendation,yes,"Establish a co-investment scheme for community housing tenants to have the option of taking over ownership, possibly through the co-operative scheme, to convert community housing to supported co-op housing, giving tenants the option to select an alternative","Recommendation 17 Establish a co-investment scheme for community housing tenants to have the option of taking over ownership, possibly through the co-operative scheme, to convert community housing to supported co-op housing, giving tenants the option to select an alternative. Australian Government response The Governme"
5110,18,does not read like a recommendation,yes,A moratorium on the sale of Crown land until a Treaty with First Nations peoples has been negotiated and agreed to,Recommendation 18 A moratorium on the sale of Crown land until a Treaty with First Nations peoples has been negotiated and agreed to. Australian Government response The Government notes this recommendation. The Government further notes that Crown land policy is primarily the responsibility of the states and territories
5159,1,the extraction looks broken,yes,"The Committee recommends that the Australian Government establishes and funds a single COVID-19 database to be administered by the soon-to-be developed Centre for Disease Control to capture data on: e COVID-19 infections, complications, hospitalisations, and deaths as well as recurrent COVID infecti","Recommendation 1 7.1 The Committee recommends that the Australian Government establishes and funds a single COVID-19 database to be administered by the soon-to-be developed Centre for Disease Control to capture data on: e COVID-19 infections, complications, hospitalisations, and deaths as well as recurrent COVID infec"
5159,7,the extraction looks broken,yes,"The Committee recommends the Australian Government establish and fund a multidisciplinary advisory body including ventilation experts, architects, aerosol scientists, industry, building code regulators and public health experts to: e Oversee an assessment of the impact of poor indoor air quality and","Recommendation 7 7.14 The Committee recommends the Australian Government establish and fund a multidisciplinary advisory body including ventilation experts, architects, aerosol scientists, industry, building code regulators and public health experts to: e Oversee an assessment of the impact of poor indoor air quality"
5198,9,the government's verdict is inside the recommendation,yes,"9a The Committee recommends that the Australian Government commission urgent monitoring to assess the current status of EPBC Act-listed species, ecological communities and migratory species in the Australian Alps. 9b Further, the Australian Government should work with the NSW, Victorian and ACT gove","Recommendation 9 9a The Committee recommends that the Australian Government commission urgent monitoring to assess the current status of EPBC Act-listed species, ecological communities and migratory species in the Australian Alps. 9b Further, the Australian Government should work with the NSW, Victorian and ACT governm"
